ID.x,Last_Season,target,predicted_label,Diff,min_label,mean_label,max_label,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Jahmyr Gibbs - 122474,2022,0.999,0.94121367,-0.057786332607269286,0.8304707,0.91430795,0.94121367,3,0.7898320472083522,0.9741261915569678,0.7267362687244666,0.47299137539718566,0.8601906491148434,0.9818099135970896,0.9924660974384731,0.9932182490752158,0.9907521578298397,0.7385383567862006,0.9845665002269632,0.6786200635497049,0.403994552882433,0.876078075351793,0.9763313609467456,0.9816980172852059,0.980244590780809,0.973659454374412,0.7775760326827054,0.9192010894235134,0.7135724012709941,0.4938719927371766,0.8284157966409441,0.9522075557578517,0.987290289781393,0.980244590780809,0.973659454374412,1,69.125,199.0,30.5,74.125,16.8,1.52,4.36,33.5,120.4,7.1,4.316000000000001,4.34
Bijan Robinson - 123126,2022,0.758384548666877,0.74717015,-0.01121439838687821,0.63127655,0.7141927,0.7588397,3,0.9255560599182933,0.982296867907399,0.8216068996822514,0.7553336359509759,0.9854743531547889,0.8681218735788995,0.9713711702661979,0.8668310727496917,0.9605425400739828,0.9550612800726282,0.9541534271448026,0.8588288697231049,0.7026781661370858,0.9963685882886972,0.7938097405553027,0.9791560752414845,0.8579492003762935,0.9708372530573848,0.7666817975487971,0.9750340444847935,0.7485247389922832,0.758057194734453,0.9546073536087154,0.889849795175239,0.936451448906965,0.8579492003762935,0.9708372530573848,1,71.0,215.0,31.125,74.75,19.4,1.52,4.46,37.0,124.0,7.017999999999999,4.254,4.42
Derrick Henry - 10679,2015,0.7254537513128652,0.73179346,0.006339711917267898,0.624122,0.6923268,0.73657435,2,0.9963685882886972,0.5537902859736723,0.7131184748070812,0.8601906491148434,0.6790739900136178,0.5648021828103683,0.8066298342541437,0.4198520345252774,0.7311960542540074,1.0,0.4198819791193827,0.5610531093962778,0.7094870630957785,0.5860190649114844,0.6668183887118798,0.7813929842399593,0.5136406396989652,0.7328316086547507,0.9559691330004539,0.6849750340444848,0.8084430322287789,0.8901497957330913,0.734453018610985,0.3905325443786982,0.7117437722419929,0.5136406396989652,0.7328316086547507,1,74.625,247.0,33.0,80.75,22.0,1.56,4.54,37.0,130.0,7.2,4.38,4.534
Aaron Jones - 11937,2016,0.756161023182475,0.7130902,-0.043070841831767015,0.6393023,0.69283223,0.7250074,3,0.9042215161143895,0.7430776214253291,0.7943713118474807,0.6581933726736269,0.9596005447117567,0.9763528876762164,0.9015570065293822,0.8951911220715166,0.9007398273736128,0.9373581479800273,0.8933272809804812,0.8043576940535633,0.7598729005901044,0.9809350885156605,0.9913518434228493,0.9084900864260295,0.5653809971777987,0.658513640639699,0.17657739446209714,0.6758965047662279,0.7630503858374943,0.5406264185201998,0.887880163413527,0.8834774692762859,0.8927300457549567,0.5653809971777987,0.658513640639699,0,69.5,208.0,32.5,76.25,16.0,1.53,4.56,37.5,127.0,6.82,4.2,4.4799999999999995
Nick Chubb - 45783,2017,0.8776396325160363,0.6962873,-0.18135235815537953,0.5682105,0.65649796,0.70502055,4,0.9418974126191557,0.6895142986836132,0.9123921924648207,0.7970948706309577,0.8810712664548344,0.5575261482492042,0.9080863887493722,0.6541307028360049,0.8655980271270037,0.9105764866091693,0.7689514298683613,0.920562868815252,0.7721289151157512,0.7557875624148888,0.761037778789258,0.9542450432130147,0.8645343367826905,0.9341486359360301,0.7889241942805265,0.5456196096232411,0.8411257376305039,0.6191556967771221,0.9187471629596006,0.432407828857533,0.6395526182003051,0.8645343367826905,0.9341486359360301,1,70.875,227.0,32.0,73.625,29.0,1.56,4.52,38.5,128.0,7.09,4.25,4.525999999999999
Rachaad White - 131633,2021,0.3880100243501731,0.66879714,0.28078711100291526,0.6291446,0.6765014,0.7283429,2,0.7240127099409895,0.8629142078983205,0.8933272809804812,0.9768497503404449,0.8974126191556968,0.9940882219190541,0.9894525364138623,0.9969173859432799,0.9975339087546239,0.8179754879709487,0.8048116205174761,0.9373581479800273,0.9732183386291421,0.876078075351793,0.9945380063723259,0.990849008642603,0.5653809971777987,0.658513640639699,0.35088515660463004,0.8847026781661371,0.7008624602814344,0.9596005447117567,0.8592827961870178,0.9754210286754665,0.9145907473309609,0.5653809971777987,0.658513640639699,1,72.375,214.0,31.25,75.375,17.0,1.59,4.48,38.0,125.0,6.956,4.21,4.48
Saquon Barkley - 45791,2017,0.5327764824695421,0.66645056,0.1336740776233839,0.5634603,0.64219576,0.69408786,3,0.9732183386291421,0.8533817521561508,0.7911938266000907,0.8157058556513844,0.8406718111665911,0.8813096862210096,0.9929683576092416,0.9654747225647349,0.9895191122071517,0.9695869269178393,0.8833408987743986,0.7762142532909668,0.8374943259192011,0.7771221062187925,0.8748293126991352,0.9969496695475343,0.9924741298212606,0.9962370649106302,0.9618701770313209,0.7970948706309577,0.7149341806627326,0.6663640490240581,0.8247843849296413,0.8015475648611743,0.4992374173868836,0.9924741298212606,0.9962370649106302,1,72.0,233.0,31.375,74.25,29.0,1.54,4.4,41.0,120.6,7.151999999999999,4.24,4.529999999999999
Todd Gurley - 9443,2014,0.35171284182824913,0.6462006,0.29448775545797523,0.58140004,0.6343411,0.68140864,1,0.7734906945074898,0.9010440308669996,0.9900136177939174,0.9005901044030867,0.9287335451656832,0.504774897680764,0.8990457056755399,0.7940813810110974,0.8575832305795315,0.625510667271902,0.7966409441670449,0.9686790739900136,0.7371765773944621,0.811166591012256,0.35912608101957216,0.762582613116421,0.6227657572906867,0.6886171213546566,0.8842487517022243,0.9391738538356786,0.9918293236495688,0.9296413980935089,0.9532455742169769,0.6827492034592626,0.9542450432130147,0.6227657572906867,0.6886171213546566,1,72.625,222.0,31.5,76.375,17.0,1.552,4.474,37.7,124.6,7.062,4.2700000000000005,4.52
Alvin Kamara - 11822,2016,0.8477825115914708,0.64540654,-0.20237596738294417,0.5770902,0.6281163,0.6494287,2,0.6849750340444848,0.9886518384021789,0.9005901044030867,0.9192010894235134,0.8951429868361326,0.9749886311959982,0.9849321948769463,0.9944512946979038,0.9765721331689272,0.5460735360871539,0.9782115297321834,0.7848388561053109,0.8774398547435316,0.7621425329096686,0.9508420573509331,0.9501779359430605,0.9811853245531514,0.9190968955785512,0.8279618701770313,0.9804811620517476,0.929187471629596,0.8992283250113482,0.9319110304130731,0.9781520254893036,0.9918657854600915,0.9811853245531514,0.9190968955785512,1,70.25,214.0,32.75,78.25,15.0,1.54,4.56,39.5,131.0,7.1,4.21,4.484
MarKeise Irving - 144970,2023,0.7197458118196611,0.63760674,-0.08213907182179736,0.5873131,0.6224229,0.6476875,3,0.8892419428052656,0.9818429414434862,0.8906037221970041,0.4893327280980481,0.8915115751248298,0.9008640291041382,0.9799095931692616,0.9395807644882861,0.9704069050554871,0.8284157966409441,0.9773036768043577,0.8906037221970041,0.5719473445301861,0.9069450748978666,0.9021392808375057,0.9852567361464158,0.955785512699906,0.9774223894637818,0.8992283250113482,0.9137539718565593,0.8179754879709487,0.5256468452110759,0.6795279164775306,0.8579881656804734,0.9227249618708694,0.955785512699906,0.9774223894637818,1,69.0,192.0,29.5,70.625,14.2,1.54,4.55,29.5,115.0,6.998,4.296,4.48
