ID.x,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
AJ Dillon - 57165,3,0.9954607353608715,0.6536541080344984,0.3663186563776668,0.5746709033136632,0.825692237857467,0.41109595270577537,0.8533400301356102,0.29408138101109743,0.779901356350185,0.9931911030413073,0.607807535179301,0.3581479800272356,0.4126191556967771,0.7916477530640036,0.7651342740100137,0.8312150482968989,0.3405456255879586,0.7657572906867357,0.9859282796187018,0.7022242396731729,0.49341806627326373,0.7389922832501135,0.7921016795279164,0.023668639053254437,0.5505846466700559,0.3405456255879586,0.7657572906867357,1,72.375,247.0,31.625,77.625,23.0,1.53,4.53,41.0,131.0,7.19,4.279999999999999,4.54
AJ Newberry - 172623,1,0.16886064457557876,0.6041761234679982,0.24648206990467544,0.911484339536995,0.24648206990467544,0.9363346975898136,0.8337518834756403,0.8625154130702836,0.7429099876695437,0.153427144802542,0.45301861098502044,0.17839310031774852,0.7621425329096686,0.1861098502042669,0.8643604915794265,0.6670055922724962,0.7187206020696143,0.5371589840075258,0.3200181570585565,0.7430776214253291,0.42941443486155245,0.9373581479800273,0.4457557875624149,0.9563040509786072,0.9186578546009151,0.7187206020696143,0.5371589840075258,1,71.075,218.4,30.4,73.725,20.4,1.59,4.572,34.9,116.0,7.108,4.2780000000000005,4.478
AJ Turner - 156791,1,0.681343622333182,0.6246028143440763,0.7185655923740354,0.7576032682705401,0.9795733091239219,0.5852660300136425,0.8890005022601708,0.7299630086313194,0.8168927250308261,0.5397185655923741,0.47662278710848843,0.5356332274171585,0.5497049477984567,0.9328188833408988,0.41920801092398724,0.7488561260803254,0.5230479774223895,0.6331138287864534,0.831593281888334,0.7594189741261915,0.8261461643213799,0.8551974580118021,0.9850204266908761,0.7460172963131543,0.9486527707168276,0.5230479774223895,0.6331138287864534,0,69.4,209.4,30.8,74.225,16.6,1.6179999999999999,4.592,35.8,118.4,7.212000000000001,4.308,4.504
Aaron Jones - 11937,3,0.9042215161143895,0.7430776214253291,0.7943713118474807,0.6581933726736269,0.9596005447117567,0.9763528876762164,0.9015570065293822,0.8951911220715166,0.9007398273736128,0.9373581479800273,0.8933272809804812,0.8043576940535633,0.7598729005901044,0.9809350885156605,0.9913518434228493,0.9084900864260295,0.5653809971777987,0.658513640639699,0.17657739446209714,0.6758965047662279,0.7630503858374943,0.5406264185201998,0.887880163413527,0.8834774692762859,0.8927300457549567,0.5653809971777987,0.658513640639699,0,69.5,208.0,32.5,76.25,16.0,1.53,4.56,37.5,127.0,6.82,4.2,4.4799999999999995
Aaron Young - 97161,4,0.48660916931457104,0.5469813890149796,0.13436223331820246,0.5056740807989106,0.4861552428506582,0.6498408367439745,0.1567051732797589,0.13625154130702835,0.22626387176325524,0.7975487970948706,0.672719019518838,0.39627780299591464,0.8883340898774399,0.625510667271902,0.7965407373691398,0.49211997966446364,0.6904985888993415,0.3951081843838194,0.23831139355424422,0.35497049477984566,0.02723558783477077,0.0,0.45528824330458467,0.4906690942193901,0.22369089984748347,0.6904985888993415,0.3951081843838194,0,71.225,216.8,31.026,73.901,18.8,1.544,4.523999999999999,34.0,120.4,7.106,4.294,4.542
Abu Sama - 174686,2,0.6804357694053563,0.9682251475261008,0.6958692691783931,0.5492510213345438,0.9950068088969587,0.3419736243747158,0.32446007031642393,0.44204685573366215,0.3964241676942047,0.625510667271902,0.9636858828869723,0.5465274625510668,0.7135724012709941,0.9986382206082615,0.3409194355939918,0.5719369598373157,0.35371589840075257,0.48071495766698025,0.7489786654561961,0.9391738538356786,0.7930095324557421,0.2882433045846573,0.926463912846119,0.432407828857533,0.19572953736654805,0.35371589840075257,0.48071495766698025,1,70.775,216.0,31.175,75.35,19.8,1.536,4.4959999999999996,33.2,121.2,7.168000000000001,4.409999999999999,4.45
Adam Mohammed - 183644,1,0.19019518837948252,0.9959146618247844,0.2165229232864276,0.0,0.8542896050839764,0.3419736243747158,0.1783023606228026,0.5110974106041923,0.6270036991368682,0.17203812982296868,0.9813890149795733,0.16023604176123468,0.0,0.6954153427144802,0.24761037778789258,0.11743772241992882,0.5653809971777987,0.658513640639699,0.35088515660463004,0.9968225147526101,0.3899228325011348,0.0,0.9128461189287336,0.5525716886663632,0.4295882053889171,0.5653809971777987,0.658513640639699,1,70.225,216.2,30.35,73.326,18.6,1.56,4.624,33.2,119.2,7.212000000000001,4.45,4.5120000000000005
Ahmad Hardy - 190013,1,0.9836586472991375,0.9863822060826146,0.6318656377666818,0.7190195188379482,0.9618701770313209,0.4579354251932697,0.833249623304872,0.26695437731196053,0.7786683107274969,0.9328188833408988,0.9450748978665456,0.44620971402632775,0.5124829777576033,0.8869723104857014,0.3299954483386436,0.6659888154550077,0.18156161806208843,0.5823142050799623,0.9895596913300045,0.9900136177939174,0.769859282796187,0.8325011348161597,0.9727644121652292,0.6540737369139736,0.9181494661921709,0.18156161806208843,0.5823142050799623,0,69.45,209.2,30.475,73.6,20.6,1.6079999999999999,4.677999999999999,34.9,118.6,7.132,4.298,4.504
Ahmani Marshall - 123391,2,0.7240127099409895,0.1988197911938266,0.6087153881071267,0.6441216522923287,0.5769405356332274,0.4297407912687585,0.6042189854344551,0.5369913686806412,0.5709001233045623,0.7280980481162052,0.2664548343168407,0.5896504766227871,0.48252383113935543,0.6954153427144802,0.31725079654073735,0.6349771225216065,0.4205079962370649,0.5569143932267169,0.6958692691783931,0.18293236495687698,0.6037221970040854,0.7703132092600998,0.3808443032228779,0.6244879380974055,0.5119471276054905,0.4205079962370649,0.5569143932267169,0,72.4,234.8,31.7,76.5,16.6,1.564,4.568,34.8,122.8,7.13,4.306,4.552
Aidan Laughery - 158212,1,0.6472991375397186,0.34089877439854743,0.7948252383113935,0.4970494779845665,0.8788016341352701,0.24602091859936334,0.34354595680562533,0.2521578298397041,0.42355117139334153,0.5120290512936905,0.2623694961416251,0.6068996822514753,0.34679981842941443,0.7330912392192465,0.18070095584888485,0.211997966446365,0.17121354656632173,0.30009407337723426,0.8125283704039945,0.5279164775306401,0.8719927371765774,0.7085792101679528,0.926463912846119,0.4528903049613109,0.5876970005083884,0.17121354656632173,0.30009407337723426,1,70.425,215.6,30.625999999999998,74.001,22.0,1.5559999999999998,4.528,32.4,116.4,7.224000000000001,4.3180000000000005,4.513999999999999
