,ID.x,ID.y,similarity
0,Ashton Jeanty - 157196,Bijan Robinson - 123126,65.55
1,Ashton Jeanty - 157196,Rachaad White - 131633,60.34
2,Ashton Jeanty - 157196,Aaron Jones - 11937,56.78
3,Ashton Jeanty - 157196,Tony Pollard - 27126,54.97
4,Ashton Jeanty - 157196,Duke Johnson - 9510,49.71
5,RJ Harvey - 99622,Tyjae Spears - 97195,68.92
6,RJ Harvey - 99622,Elijah Mitchell - 57272,68.19
7,RJ Harvey - 99622,Duke Johnson - 9510,60.02
8,RJ Harvey - 99622,Christian McCaffrey - 11763,53.51
9,RJ Harvey - 99622,Kenneth Walker - 97199,52.27
10,Omarion Hampton - 162750,Chris Carson - 12004,72.16
11,Omarion Hampton - 162750,Todd Gurley - 9443,61.07
12,Omarion Hampton - 162750,Melvin Gordon - 9448,59.84
13,Omarion Hampton - 162750,Alvin Kamara - 11822,54.97
14,Omarion Hampton - 162750,Jonathan Taylor - 57488,53.13
15,CJ Campbell - 143876,Tony Pollard - 27126,89.5
16,CJ Campbell - 143876,Duke Johnson - 9510,86.3
17,CJ Campbell - 143876,Kenneth Walker - 97199,77.86
18,CJ Campbell - 143876,DAndre Swift - 57212,66.61
19,CJ Campbell - 143876,Travis Etienne - 57185,64.98
20,Daylan Smothers - 173719,Zach Charbonnet - 97630,82.06
21,Daylan Smothers - 173719,Kenneth Dixon - 10768,81.74
22,Daylan Smothers - 173719,Breece Hall - 97636,78.16
23,Daylan Smothers - 173719,Melvin Gordon - 9448,77.51
24,Daylan Smothers - 173719,Travis Etienne - 57185,71.52
25,Cameron Skattebo - 147787,Kenneth Dixon - 10768,76.04
26,Cameron Skattebo - 147787,Breece Hall - 97636,73.05
27,Cameron Skattebo - 147787,Kareem Hunt - 11841,68.51
28,Cameron Skattebo - 147787,Zach Charbonnet - 97630,67.79
29,Cameron Skattebo - 147787,Travis Etienne - 57185,67.66
30,Seth McGowan - 122936,James Cook - 83666,79.54
31,Seth McGowan - 122936,Christian McCaffrey - 11763,74.46
32,Seth McGowan - 122936,Tyjae Spears - 97195,68.59
33,Seth McGowan - 122936,Elijah Mitchell - 57272,67.08
34,Seth McGowan - 122936,Devin Singletary - 40485,60.14
35,Jonah Coleman - 158717,Breece Hall - 97636,82.36
36,Jonah Coleman - 158717,Jonathon Brooks - 144721,80.65
37,Jonah Coleman - 158717,Sony Michel - 27589,73.08
38,Jonah Coleman - 158717,Javonte Williams - 77803,72.53
39,Jonah Coleman - 158717,Zach Charbonnet - 97630,71.21
40,Jeremiyah Love - 171090,Javonte Williams - 77803,96.03
41,Jeremiyah Love - 171090,DAndre Swift - 57212,90.15
42,Jeremiyah Love - 171090,Kenneth Walker - 97199,81.96
43,Jeremiyah Love - 171090,Khalil Herbert - 41668,78.15
44,Jeremiyah Love - 171090,Sony Michel - 27589,74.79
45,Quinshon Judkins - 157128,Chris Carson - 12004,72.16
46,Quinshon Judkins - 157128,Isaac Guerendo - 83806,70.04
47,Quinshon Judkins - 157128,Breece Hall - 97636,63.12
48,Quinshon Judkins - 157128,Audric Estime - 147476,50.86
49,Quinshon Judkins - 157128,Jonathon Brooks - 144721,48.92
50,Dylan Sampson - 163772,Elijah Mitchell - 57272,69.1
51,Dylan Sampson - 163772,Tyjae Spears - 97195,68.93
52,Dylan Sampson - 163772,James Cook - 83666,68.68
53,Dylan Sampson - 163772,Christian McCaffrey - 11763,67.67
54,Dylan Sampson - 163772,Tevin Coleman - 9506,64.36
55,TreVeyon Henderson - 145059,Tyjae Spears - 97195,73.51
56,TreVeyon Henderson - 145059,Elijah Mitchell - 57272,72.13
57,TreVeyon Henderson - 145059,Tevin Coleman - 9506,63.34
58,TreVeyon Henderson - 145059,Christian McCaffrey - 11763,58.53
59,TreVeyon Henderson - 145059,Ameer Abdullah - 9487,56.86
60,Aneyas Williams - 184108,Jonathon Brooks - 144721,93.4
61,Aneyas Williams - 184108,Breece Hall - 97636,85.98
62,Aneyas Williams - 184108,Sony Michel - 27589,75.95
